JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
138,182,50,2023-02-17,CHECKOUT,DROP-OFF,
139,130,45,2023-11-06,Purchase,purchase,454.0
140,258,38,2023-11-10,ProductPage,VIEW,279.0
141,163,22,2023-06-24,Purchase,PURCHASE,123.7
142,330,3,2024-05-12,HOMEPAGE,View,185.8
143,472,9,2023-11-26,productpage,ADDTOCART,538.5
144,178,45,2024-08-25,PURCHASE,Purchase,282.1
145,327,26,2023-06-24,purchase,Purchase,235.1
146,337,10,2023-01-22,Purchase,Purchase,403.3
147,431,44,2024-01-25,ProductPage,Drop-off,
148,66,45,2024-05-07,Purchase,purchase,46.3
149,196,2,2024-05-23,PURCHASE,purchase,431.6
150,284,15,2024-03-07,Purchase,purchase,65.3
151,419,19,2023-07-13,Checkout,Purchase,437.5
152,418,19,2023-08-13,Purchase,Purchase,177.2
153,128,41,2024-02-12,ProductPage,AddToCart,479.6
154,470,43,2024-03-05,Purchase,Purchase,414.5
155,194,47,2023-01-27,Purchase,purchase,401.0
156,492,41,2023-05-28,CHECKOUT,drop-off,
157,292,36,2023-01-15,HOMEPAGE,Drop-off,
158,172,50,2023-08-31,PURCHASE,Purchase,90.0
159,354,10,2023-05-26,ProductPage,Drop-off,
160,419,13,2024-12-26,Purchase,Purchase,180.0
161,260,24,2024-08-01,Homepage,Drop-off,
162,367,48,2024-10-23,purchase,Purchase,56.7
163,417,43,2023-04-28,Purchase,Purchase,50.8
164,194,9,2024-10-14,ProductPage,View,143.0
165,2,5,2023-07-13,Checkout,DROP-OFF,
166,44,23,2023-11-25,PRODUCTPAGE,Click,277.9
167,237,25,2023-12-18,PURCHASE,Purchase,16.3
168,94,39,2023-11-22,ProductPage,AddToCart,205.4
169,309,46,2023-05-02,ProductPage,Click,408.4
170,202,11,2024-12-11,Purchase,Purchase,10.1
171,390,44,2024-02-17,HOMEPAGE,Click,390.6
172,157,28,2024-01-22,ProductPage,Drop-off,
173,114,43,2024-09-27,Purchase,PURCHASE,151.3
174,436,6,2024-01-29,ProductPage,Drop-off,
175,440,20,2023-11-28,Purchase,Purchase,171.7
176,79,37,2024-08-03,CHECKOUT,Drop-off,
177,80,39,2024-01-19,productpage,DROP-OFF,
178,434,20,2024-11-13,Checkout,purchase,31.7
179,308,40,2024-03-25,Homepage,Click,45.8
180,269,41,2024-10-16,Checkout,Drop-off,
181,126,47,2023-03-15,Checkout,drop-off,
182,129,35,2023-07-30,purchase,purchase,539.6
183,410,32,2024-11-24,Purchase,purchase,534.4
184,211,30,2023-03-23,Checkout,Purchase,266.5
185,89,15,2023-10-14,Homepage,View,517.9
186,102,34,2024-12-22,Checkout,Drop-off,
187,2,28,2024-08-29,HOMEPAGE,Click,75.0
188,275,2,2024-06-14,ProductPage,VIEW,27.4
189,498,15,2023-01-22,homepage,View,368.8
190,138,33,2023-08-09,Purchase,purchase,164.3
191,282,21,2024-01-16,purchase,Purchase,438.3
192,419,12,2024-02-29,Homepage,Click,297.9
193,285,42,2023-03-14,Checkout,Drop-off,
194,92,11,2024-11-19,Checkout,Drop-off,
195,331,23,2024-04-04,Purchase,Purchase,123.4
196,63,30,2023-01-27,ProductPage,AddToCart,281.5
197,151,43,2024-10-02,Purchase,Purchase,110.8
198,289,3,2024-02-12,Checkout,Purchase,439.8
199,259,9,2023-01-03,PRODUCTPAGE,View,10.0
200,195,40,2023-08-02,productpage,Drop-off,
201,345,48,2024-07-23,ProductPage,ADDTOCART,402.9
202,274,20,2023-08-03,ProductPage,Click,224.5
203,156,8,2023-04-10,homepage,Click,222.7
204,240,39,2023-02-27,PRODUCTPAGE,Click,26.2
205,261,15,2023-01-24,Purchase,purchase,478.7
206,105,21,2024-08-07,Checkout,Drop-off,
207,339,37,2023-03-22,Purchase,Purchase,132.5
208,281,1,2024-01-19,Purchase,Purchase,153.3
209,400,10,2024-03-16,Purchase,PURCHASE,42.3
210,435,34,2024-03-12,ProductPage,View,478.3
211,231,4,2024-12-25,Checkout,DROP-OFF,
212,7,5,2024-10-21,purchase,Purchase,172.4
213,24,22,2024-01-01,purchase,Purchase,301.0
214,94,17,2023-01-14,purchase,purchase,533.0
215,187,41,2023-06-21,Homepage,Click,377.3
216,325,41,2023-12-27,Purchase,Purchase,380.1
217,239,49,2024-10-29,Purchase,purchase,531.9
218,434,22,2023-07-07,Homepage,View,158.7
219,126,10,2024-06-26,purchase,Purchase,263.0
220,205,13,2023-09-14,productpage,view,577.5
221,177,50,2024-12-23,purchase,PURCHASE,399.0
222,105,3,2023-12-08,ProductPage,Click,83.6
223,434,13,2023-05-03,Purchase,Purchase,580.9
224,218,47,2024-02-29,ProductPage,Drop-off,
225,303,42,2024-08-17,HOMEPAGE,View,37.9
226,455,8,2023-07-07,ProductPage,Click,193.8
227,325,14,2023-02-21,Checkout,Drop-off,
228,342,5,2024-12-31,PRODUCTPAGE,AddToCart,540.8
229,135,6,2023-11-02,HOMEPAGE,VIEW,552.4
230,227,48,2024-10-14,Checkout,AddToCart,25.5
231,107,36,2024-08-17,Purchase,Purchase,461.9
232,249,45,2023-01-28,ProductPage,View,43.6
233,265,25,2023-04-30,productpage,View,501.1
234,331,6,2023-06-19,homepage,click,341.0
235,457,38,2024-10-06,Purchase,Purchase,492.3
236,326,20,2023-07-22,Checkout,Drop-off,
237,117,15,2023-05-15,ProductPage,AddToCart,226.3
238,438,37,2023-03-22,Homepage,View,593.9
239,345,48,2023-12-26,Purchase,Purchase,343.5
240,163,15,2023-04-07,checkout,Purchase,15.1
241,33,12,2023-06-09,checkout,Drop-off,
242,261,1,2024-08-09,Checkout,Purchase,158.2
243,267,39,2024-06-20,Checkout,Purchase,597.7
244,250,22,2024-01-01,ProductPage,AddToCart,51.2
245,369,22,2023-10-06,HOMEPAGE,View,285.3
246,498,3,2023-10-09,Homepage,Click,13.0
247,492,45,2023-10-30,Checkout,Drop-off,
248,390,13,2024-06-30,ProductPage,View,159.0
249,131,21,2023-03-13,checkout,Drop-off,
250,414,24,2024-03-16,Purchase,Purchase,23.5
251,116,3,2023-10-14,Homepage,Drop-off,
252,276,46,2024-04-13,Checkout,addtocart,181.8
253,411,29,2024-05-29,checkout,drop-off,
254,15,49,2023-04-17,purchase,Purchase,417.1
255,260,11,2024-03-14,Purchase,Purchase,556.3
256,461,43,2024-07-21,ProductPage,AddToCart,117.2
257,488,37,2023-07-08,Purchase,Purchase,257.2
258,328,32,2024-10-26,CHECKOUT,AddToCart,558.0
259,240,25,2023-07-12,Purchase,Purchase,358.4
260,306,34,2023-12-17,ProductPage,addtocart,141.2
261,277,21,2023-07-24,Purchase,Purchase,277.4
262,182,27,2024-05-07,Purchase,Purchase,36.0
263,19,41,2023-08-19,ProductPage,Click,158.6
264,357,38,2024-07-02,ProductPage,drop-off,
265,12,11,2024-09-05,Checkout,Drop-off,
266,294,43,2023-05-31,Purchase,Purchase,292.6
267,311,14,2024-01-17,ProductPage,AddToCart,232.8
268,203,26,2024-08-20,ProductPage,click,392.6
269,393,17,2024-03-22,homepage,DROP-OFF,
270,334,50,2023-06-28,Homepage,Drop-off,
271,71,15,2023-03-27,ProductPage,VIEW,215.6
272,209,23,2023-11-22,homepage,Click,533.2
273,239,31,2024-09-11,Checkout,AddToCart,206.8
274,54,20,2023-09-15,Homepage,Click,567.8
275,197,15,2024-12-18,PURCHASE,Purchase,312.2
276,312,13,2023-03-13,ProductPage,VIEW,582.5
277,391,18,2023-11-09,PURCHASE,PURCHASE,226.8
278,53,46,2023-04-29,ProductPage,CLICK,466.8
279,238,32,2023-06-10,purchase,Purchase,331.9
280,79,20,2024-02-22,PRODUCTPAGE,View,430.8
281,139,43,2024-11-06,Checkout,DROP-OFF,
282,143,12,2023-02-02,productpage,AddToCart,422.4
283,29,7,2023-12-31,Purchase,Purchase,588.4
284,345,20,2023-04-07,Purchase,Purchase,495.3
285,257,5,2024-05-23,CHECKOUT,Drop-off,
286,45,31,2024-12-06,checkout,Purchase,349.3
287,358,9,2023-05-19,Purchase,Purchase,394.8
288,180,45,2024-02-14,ProductPage,Drop-off,
289,351,32,2023-05-07,Checkout,Drop-off,
290,247,7,2023-04-19,homepage,Drop-off,
291,276,24,2024-03-24,Checkout,addtocart,201.5
292,261,20,2023-03-16,Homepage,View,357.8
293,93,43,2024-08-03,HOMEPAGE,DROP-OFF,
294,454,6,2024-06-16,ProductPage,Click,336.1
295,491,17,2023-12-23,Purchase,Purchase,44.0
296,436,39,2024-09-25,Homepage,View,197.5
297,334,3,2024-01-20,Checkout,Drop-off,
298,160,4,2024-11-04,Homepage,drop-off,
299,210,41,2023-10-07,Purchase,Purchase,345.1
300,444,26,2023-09-16,HOMEPAGE,drop-off,
301,445,46,2023-06-01,Homepage,click,346.2
302,260,16,2023-05-21,Homepage,View,125.9
303,460,32,2023-10-04,HOMEPAGE,Click,457.6
304,92,40,2024-03-18,Purchase,Purchase,422.1
305,310,30,2023-11-04,Checkout,Drop-off,
306,379,43,2024-05-10,PURCHASE,Purchase,375.2
307,279,44,2023-07-11,CHECKOUT,addtocart,404.5
308,32,50,2023-08-16,ProductPage,View,563.2
309,325,45,2023-02-23,CHECKOUT,addtocart,408.3
310,451,34,2024-12-01,HOMEPAGE,Click,530.3
311,89,11,2023-12-23,ProductPage,VIEW,154.4
312,303,44,2023-08-28,ProductPage,View,148.8
313,288,41,2023-09-30,Purchase,Purchase,347.0
314,172,39,2024-09-14,Checkout,Purchase,408.4
315,497,44,2023-01-05,ProductPage,Click,207.7
316,155,18,2024-01-01,Purchase,Purchase,408.4
317,448,21,2024-07-16,ProductPage,View,163.3
318,95,43,2023-12-26,homepage,VIEW,569.8
319,153,31,2023-04-30,ProductPage,view,357.9
320,351,46,2023-01-20,HOMEPAGE,Drop-off,
321,368,8,2024-09-20,Purchase,Purchase,71.2
322,485,37,2023-08-19,ProductPage,Click,356.6
323,350,3,2023-08-20,Purchase,purchase,487.0
324,177,45,2024-01-03,Checkout,AddToCart,349.2
325,270,13,2023-01-06,CHECKOUT,PURCHASE,306.6
326,177,23,2023-11-12,PURCHASE,Purchase,439.4
327,113,18,2024-09-20,HOMEPAGE,view,583.5
328,256,47,2024-10-15,Homepage,CLICK,387.7
329,496,37,2023-06-25,PURCHASE,Purchase,419.8
330,44,38,2024-08-23,Checkout,DROP-OFF,
331,372,2,2024-09-27,Homepage,Drop-off,
332,158,7,2024-04-12,ProductPage,drop-off,
333,428,11,2024-09-20,Homepage,CLICK,391.9
334,394,23,2024-09-10,ProductPage,click,73.1
335,291,45,2024-12-21,checkout,Purchase,246.1
336,229,3,2023-09-27,Purchase,Purchase,168.5
337,380,11,2024-03-20,ProductPage,VIEW,66.8
338,324,10,2023-05-29,CHECKOUT,Drop-off,
339,315,29,2024-10-01,HOMEPAGE,View,299.3
340,187,1,2024-03-24,Purchase,Purchase,369.9
341,466,33,2024-11-21,Purchase,Purchase,599.5
342,147,36,2024-09-15,Homepage,Click,452.4
343,238,43,2024-03-22,Homepage,View,565.6
344,40,24,2023-10-31,Homepage,CLICK,330.6
345,194,39,2023-12-08,Homepage,Drop-off,
346,491,8,2023-11-16,Checkout,AddToCart,108.8
347,6,15,2024-02-27,Homepage,drop-off,
348,401,29,2024-03-19,ProductPage,Drop-off,
349,419,20,2024-01-05,Purchase,Purchase,344.4
350,473,12,2024-06-13,Purchase,Purchase,21.0
351,258,47,2024-08-21,CHECKOUT,Purchase,30.8
352,342,17,2024-10-28,PRODUCTPAGE,VIEW,491.8
353,179,23,2024-04-08,ProductPage,View,22.6
354,312,47,2024-10-15,HOMEPAGE,View,557.2
355,265,3,2024-02-15,HOMEPAGE,drop-off,
356,118,36,2023-11-09,Homepage,Click,399.4
357,339,17,2023-09-09,Purchase,Purchase,223.3
358,228,23,2023-07-24,Checkout,AddToCart,132.5
359,445,11,2024-02-15,Checkout,AddToCart,335.3
360,258,8,2024-12-17,Purchase,Purchase,252.1
361,478,45,2024-06-27,Purchase,purchase,92.5
362,187,50,2024-09-27,ProductPage,CLICK,493.2
363,466,33,2024-12-01,purchase,Purchase,114.7
364,308,7,2023-12-02,Checkout,PURCHASE,557.6
365,485,5,2023-12-17,ProductPage,Click,469.0
366,351,23,2023-03-15,Checkout,AddToCart,378.1
367,46,34,2024-12-02,CHECKOUT,Drop-off,
368,68,1,2023-01-01,Purchase,Purchase,34.5
369,288,3,2024-06-03,Homepage,View,223.4
370,51,38,2024-11-29,checkout,DROP-OFF,
371,148,45,2024-11-11,Homepage,DROP-OFF,
372,173,17,2024-08-28,ProductPage,addtocart,266.1
373,307,6,2024-03-01,Homepage,Click,517.8
374,310,16,2023-03-21,Checkout,AddToCart,48.9
375,315,11,2024-05-05,ProductPage,Click,375.5
376,141,13,2023-06-26,ProductPage,View,498.1
377,218,14,2024-03-05,Checkout,Purchase,347.1
378,341,9,2023-12-18,Checkout,Purchase,511.6
379,442,6,2023-02-07,CHECKOUT,Drop-off,
380,365,40,2023-10-22,ProductPage,Click,80.0
381,152,17,2024-03-04,Purchase,Purchase,427.8
382,74,42,2023-01-08,Checkout,drop-off,
383,287,33,2023-03-20,Checkout,Drop-off,
384,52,12,2023-09-18,Purchase,Purchase,40.9
385,274,42,2023-03-18,Homepage,VIEW,144.5
386,301,9,2024-02-22,productpage,VIEW,367.9
387,232,29,2024-02-11,HOMEPAGE,Click,315.4
388,318,40,2024-08-01,ProductPage,View,109.5
389,207,27,2024-03-11,Homepage,View,455.5
390,434,22,2023-01-31,homepage,click,417.6
391,491,16,2024-02-23,ProductPage,view,168.0
392,156,40,2024-06-10,ProductPage,AddToCart,137.0
393,178,18,2023-08-20,ProductPage,Click,113.3
394,449,17,2024-09-19,Checkout,Drop-off,
395,67,39,2024-07-06,Homepage,Drop-off,
396,141,29,2024-02-23,Checkout,Drop-off,
397,425,17,2023-02-13,Checkout,Drop-off,
398,428,9,2023-11-24,productpage,click,324.0
399,306,23,2023-05-12,purchase,purchase,145.0
400,21,9,2024-11-25,Homepage,view,273.1
401,321,12,2024-07-25,purchase,purchase,350.2
402,104,7,2023-09-28,Purchase,Purchase,141.1
403,498,14,2023-07-17,ProductPage,View,129.1
404,57,3,2024-04-28,ProductPage,View,261.8
405,176,25,2024-01-19,ProductPage,CLICK,384.8
406,131,7,2023-08-17,CHECKOUT,Purchase,192.3
407,452,10,2023-07-14,CHECKOUT,drop-off,
408,380,38,2023-08-27,Homepage,View,288.0
409,291,4,2024-02-12,Homepage,click,291.2
410,196,32,2023-03-31,Purchase,Purchase,105.9
411,244,8,2023-10-13,Purchase,Purchase,287.3
412,477,48,2024-11-19,ProductPage,Drop-off,
413,12,39,2024-08-26,Checkout,Drop-off,
414,152,37,2024-04-26,productpage,addtocart,474.5
415,335,48,2023-03-23,PURCHASE,purchase,346.8
416,362,34,2023-11-22,ProductPage,DROP-OFF,
417,4,21,2023-09-11,Purchase,PURCHASE,582.7
418,142,13,2023-01-08,productpage,Click,155.6
419,284,11,2023-03-12,productpage,Click,277.9
420,267,37,2024-05-31,homepage,View,407.1
421,322,9,2023-01-31,homepage,Click,25.8
422,212,34,2023-08-03,ProductPage,addtocart,381.1
423,221,45,2024-03-13,ProductPage,View,543.1
424,74,36,2023-06-01,ProductPage,View,173.9
425,417,5,2024-07-25,Checkout,Drop-off,
426,306,12,2024-10-27,Purchase,Purchase,559.6
427,289,44,2023-10-03,Purchase,Purchase,356.2
428,113,47,2023-10-18,Checkout,AddToCart,563.7
429,246,18,2023-10-15,Checkout,Drop-off,
430,385,25,2024-09-20,PURCHASE,Purchase,270.4
431,45,47,2024-11-01,PURCHASE,purchase,105.3
432,102,13,2023-05-17,ProductPage,AddToCart,89.3
433,72,23,2024-03-20,HOMEPAGE,View,121.8
434,361,15,2023-06-10,Checkout,Drop-off,
435,280,5,2023-01-21,PURCHASE,Purchase,176.7
436,207,6,2023-12-24,ProductPage,Drop-off,
437,19,32,2024-06-03,ProductPage,AddToCart,511.4
438,173,10,2024-03-06,Homepage,Click,33.0
439,478,39,2023-03-10,CHECKOUT,AddToCart,165.1
440,359,48,2023-12-01,Checkout,PURCHASE,90.3
441,201,17,2024-05-21,Purchase,Purchase,586.9
442,39,37,2023-04-05,homepage,click,61.8
443,218,14,2024-03-05,Checkout,Purchase,347.1
444,63,20,2024-02-19,PURCHASE,purchase,506.6
445,327,14,2024-10-08,Checkout,Purchase,235.5
446,141,19,2024-09-17,Purchase,Purchase,265.8
447,236,12,2023-07-06,Purchase,Purchase,299.9
448,308,26,2024-11-07,checkout,Drop-off,
449,43,19,2024-10-31,Checkout,ADDTOCART,233.1
450,379,15,2023-11-21,checkout,AddToCart,194.6
451,162,23,2023-08-14,productpage,Click,195.3
452,378,36,2024-10-09,ProductPage,View,213.7
453,141,19,2023-01-28,productpage,View,280.2
454,304,43,2024-12-14,Purchase,Purchase,540.0
455,295,39,2024-09-03,CHECKOUT,Purchase,248.6
456,106,36,2024-06-04,PRODUCTPAGE,VIEW,328.5
457,352,21,2023-10-14,Checkout,Drop-off,
458,484,27,2023-11-22,HOMEPAGE,VIEW,467.7
459,321,35,2023-07-16,homepage,drop-off,
460,486,34,2024-10-22,Checkout,Purchase,202.5
461,338,45,2023-10-11,Checkout,Drop-off,
462,161,20,2023-01-15,Homepage,drop-off,
463,326,1,2024-03-31,Checkout,Drop-off,
464,261,28,2023-10-20,checkout,PURCHASE,34.7
465,465,49,2023-04-01,ProductPage,Drop-off,
466,379,22,2023-05-18,checkout,Purchase,477.2
467,489,20,2023-01-23,HOMEPAGE,Click,293.1
468,423,36,2023-03-02,homepage,Click,36.0
469,392,45,2024-09-10,PRODUCTPAGE,View,101.2
470,162,16,2024-01-05,Purchase,Purchase,220.1
471,312,19,2023-05-25,ProductPage,Click,299.4
472,196,48,2024-04-24,PURCHASE,PURCHASE,70.2
473,258,23,2024-02-08,ProductPage,Click,196.2
474,249,47,2023-08-13,Checkout,Drop-off,
475,170,31,2024-04-18,Purchase,Purchase,335.5
476,431,1,2023-10-03,ProductPage,AddToCart,360.1
477,370,17,2023-12-18,PRODUCTPAGE,Click,397.8
478,130,25,2023-09-06,PURCHASE,Purchase,177.3
479,230,25,2024-07-26,Checkout,addtocart,248.2
480,370,4,2024-08-04,Checkout,AddToCart,294.9
481,89,31,2023-05-23,productpage,Click,256.2
482,462,27,2024-03-27,Homepage,Drop-off,
483,235,12,2023-08-15,Checkout,AddToCart,387.8
484,326,2,2024-09-25,ProductPage,VIEW,363.7
485,107,33,2023-02-15,Purchase,Purchase,408.6
486,20,25,2023-07-08,homepage,Click,373.0
487,382,1,2023-01-12,Checkout,drop-off,
488,58,44,2024-11-15,Checkout,Purchase,217.5
489,16,31,2023-06-10,ProductPage,view,332.0
490,6,31,2024-04-09,Purchase,Purchase,218.2
491,52,34,2024-03-16,Checkout,drop-off,
492,7,45,2024-09-30,Purchase,Purchase,344.3
493,207,12,2023-01-04,Checkout,Drop-off,
494,443,24,2024-05-16,Purchase,PURCHASE,347.0
495,223,43,2023-06-26,ProductPage,Click,240.9
496,269,29,2023-01-04,ProductPage,View,451.2
497,366,41,2023-07-19,HOMEPAGE,VIEW,201.7
498,491,5,2023-04-22,ProductPage,View,526.2
499,454,23,2023-01-22,Checkout,Drop-off,
500,119,15,2024-11-12,checkout,DROP-OFF,
501,279,30,2023-01-29,Purchase,Purchase,160.9
502,355,48,2024-03-18,Homepage,Click,240.1
503,245,33,2023-03-16,productpage,view,223.4
504,282,21,2023-01-07,Homepage,click,373.4
505,226,6,2023-03-24,Homepage,Drop-off,
506,59,22,2024-10-22,Homepage,View,465.7
507,333,42,2024-07-05,ProductPage,Drop-off,
508,348,32,2023-02-19,Homepage,Click,392.4
509,51,25,2023-05-30,ProductPage,drop-off,
510,323,44,2023-08-02,Homepage,View,508.6
511,310,4,2023-01-03,Homepage,Click,211.5
512,441,1,2024-01-31,PURCHASE,Purchase,140.9
513,243,21,2023-06-24,ProductPage,Drop-off,
514,128,18,2024-02-12,Checkout,Drop-off,
515,227,10,2023-02-24,Homepage,VIEW,435.4
516,98,36,2024-04-19,Homepage,View,119.9
517,29,27,2024-11-09,Homepage,Click,155.1
518,427,22,2023-07-15,Homepage,View,280.3
519,298,37,2024-10-04,ProductPage,click,431.8
520,395,16,2023-12-14,Purchase,PURCHASE,518.6
521,497,45,2023-05-22,ProductPage,CLICK,140.3
522,283,36,2024-05-09,ProductPage,Click,190.9
523,333,25,2023-08-25,Purchase,purchase,543.3
