engagementid,contentid,contenttype,likes,engagementdate,campaignid,productid,views,clicks
47,CONT_00047,Newsletter,308,2024-09-27,CAMP_007,15,35175,1683
48,CONT_00048,Video,224,2024-01-14,CAMP_004,5,5673,1242
49,CONT_00049,Blog,533,2023-11-06,CAMP_006,26,7958,1374
50,CONT_00050,Newsletter,234,2024-05-03,CAMP_001,45,6504,1714
51,CONT_00051,Blog,482,2023-10-09,CAMP_010,13,47412,1124
52,CONT_00052,Blog,1709,2023-01-29,CAMP_008,15,30057,5939
53,CONT_00053,Blog,228,2024-04-09,CAMP_004,16,7293,1873
54,CONT_00054,Newsletter,52,2023-01-06,CAMP_002,43,43685,775
55,CONT_00055,Video,167,2024-07-18,CAMP_010,11,27614,2613
56,CONT_00056,SocialMedia,73,2023-01-01,CAMP_007,5,44885,4327
57,CONT_00057,SocialMedia,883,2024-02-17,CAMP_001,11,22430,2261
58,CONT_00058,Video,709,2024-07-09,CAMP_001,18,18250,2094
59,CONT_00059,Newsletter,26,2023-11-07,CAMP_006,4,37010,556
60,CONT_00060,Blog,1899,2023-03-13,CAMP_002,37,49413,4021
61,CONT_00061,Video,248,2023-06-04,CAMP_008,26,41600,6709
62,CONT_00062,SocialMedia,2035,2024-05-11,CAMP_010,28,46557,4539
63,CONT_00063,Newsletter,1038,2023-12-07,CAMP_007,10,21952,2152
64,CONT_00064,Video,31,2023-07-03,CAMP_005,26,1039,189
65,CONT_00065,Video,1089,2024-11-09,CAMP_009,27,25848,4888
66,CONT_00066,Blog,1066,2023-04-19,CAMP_009,11,32745,5579
67,CONT_00067,Newsletter,86,2024-07-29,CAMP_009,7,7667,524
68,CONT_00068,Newsletter,29,2024-08-04,CAMP_008,43,36960,395
69,CONT_00069,Video,295,2023-06-24,CAMP_007,32,32619,738
70,CONT_00070,Newsletter,77,2023-10-05,CAMP_005,6,21871,432
71,CONT_00071,Video,276,2023-05-29,CAMP_007,32,18784,1175
72,CONT_00072,Blog,32,2023-03-08,CAMP_006,8,4470,759
73,CONT_00073,SocialMedia,3167,2023-07-01,CAMP_007,33,34041,6850
74,CONT_00074,Video,160,2023-05-27,CAMP_005,5,29614,754
75,CONT_00075,Newsletter,963,2023-10-29,CAMP_003,1,44100,8322
76,CONT_00076,Newsletter,653,2024-03-25,CAMP_001,3,43718,8880
77,CONT_00077,Newsletter,446,2024-01-04,CAMP_010,31,17845,1851
78,CONT_00078,SocialMedia,811,2024-02-25,CAMP_002,44,15286,3879
79,CONT_00079,Blog,812,2023-03-27,CAMP_006,3,8462,1930
80,CONT_00080,Blog,30,2024-12-05,CAMP_008,23,28839,277
81,CONT_00081,Blog,10,2024-04-04,CAMP_008,36,35685,147
82,CONT_00082,Video,752,2024-04-12,CAMP_007,7,19108,3062
83,CONT_00083,Newsletter,231,2024-03-14,CAMP_008,9,32102,799
84,CONT_00084,Blog,293,2023-08-27,CAMP_005,38,10941,774
85,CONT_00085,Blog,48,2023-04-24,CAMP_006,11,1199,353
86,CONT_00086,Newsletter,2558,2024-05-11,CAMP_009,15,49345,6006
87,CONT_00087,SocialMedia,232,2024-06-20,CAMP_010,7,30899,4643
88,CONT_00088,SocialMedia,161,2024-08-21,CAMP_005,19,3445,403
89,CONT_00089,Newsletter,2194,2024-07-06,CAMP_001,6,26129,4890
90,CONT_00090,SocialMedia,424,2023-05-13,CAMP_001,35,11324,1451
91,CONT_00091,SocialMedia,19,2023-06-02,CAMP_006,32,49192,288
92,CONT_00092,Blog,2668,2023-06-22,CAMP_001,48,26939,7217
93,CONT_00093,Newsletter,241,2024-01-16,CAMP_006,40,30494,1070
94,CONT_00094,Video,335,2023-05-07,CAMP_007,29,41312,1780
95,CONT_00095,Newsletter,631,2024-08-09,CAMP_007,23,29047,6822
96,CONT_00096,Newsletter,800,2023-02-25,CAMP_003,50,49403,3209
97,CONT_00097,Video,2009,2023-07-12,CAMP_003,4,25122,4256
98,CONT_00098,SocialMedia,104,2024-07-16,CAMP_001,25,18581,2995
99,CONT_00099,Video,3366,2023-07-29,CAMP_009,32,29282,7637
100,CONT_00100,Blog,1312,2023-10-22,CAMP_002,49,35615,3328
101,CONT_00101,Blog,37,2024-02-03,CAMP_006,35,42424,123
102,CONT_00102,Video,957,2023-01-28,CAMP_001,18,16284,4666
103,CONT_00103,Newsletter,2575,2024-10-27,CAMP_007,1,46477,13352
104,CONT_00104,Newsletter,511,2024-04-26,CAMP_006,40,25653,2310
105,CONT_00105,Blog,335,2023-11-19,CAMP_009,16,31136,884
106,CONT_00106,Blog,41,2024-11-01,CAMP_009,37,1467,114
107,CONT_00107,Blog,1086,2024-01-13,CAMP_002,13,30348,7020
108,CONT_00108,Blog,332,2023-02-21,CAMP_002,40,3630,706
109,CONT_00109,Video,997,2023-08-03,CAMP_009,33,22022,2497
110,CONT_00110,Blog,324,2023-01-25,CAMP_007,11,12293,2035
111,CONT_00111,SocialMedia,30,2023-12-19,CAMP_006,15,674,163
112,CONT_00112,SocialMedia,1108,2024-01-05,CAMP_002,21,45947,2344
113,CONT_00113,Video,178,2023-06-10,CAMP_005,30,8172,822
114,CONT_00114,Blog,3892,2024-11-19,CAMP_006,1,29186,8408
115,CONT_00115,Video,5675,2023-05-04,CAMP_009,41,41287,12275
116,CONT_00116,Video,201,2023-04-05,CAMP_005,7,2106,417
117,CONT_00117,SocialMedia,36,2024-05-19,CAMP_005,41,47239,13563
118,CONT_00118,Blog,287,2023-12-06,CAMP_007,38,48667,6172
119,CONT_00119,SocialMedia,426,2024-12-17,CAMP_010,10,10594,1986
120,CONT_00120,Newsletter,1845,2023-08-20,CAMP_009,30,38767,4395
121,CONT_00121,SocialMedia,767,2023-07-02,CAMP_004,39,10386,2812
122,CONT_00122,Blog,221,2023-07-23,CAMP_007,3,3857,801
123,CONT_00123,Newsletter,218,2024-05-03,CAMP_004,40,20270,1058
124,CONT_00124,Video,650,2024-07-02,CAMP_002,37,9472,2692
125,CONT_00125,SocialMedia,1186,2023-07-14,CAMP_007,20,26017,4789
126,CONT_00126,SocialMedia,808,2023-03-28,CAMP_005,48,23433,5604
127,CONT_00127,Video,1537,2024-03-06,CAMP_009,49,39571,4636
128,CONT_00128,Blog,2628,2023-04-22,CAMP_005,25,49923,8947
129,CONT_00129,SocialMedia,926,2024-09-24,CAMP_009,38,7564,2237
130,CONT_00130,Newsletter,699,2023-02-17,CAMP_003,13,15459,2014
131,CONT_00131,Blog,842,2023-08-16,CAMP_009,34,14275,2021
132,CONT_00132,SocialMedia,26,2023-05-29,CAMP_006,2,37855,6383
133,CONT_00133,SocialMedia,11,2023-11-14,CAMP_004,50,17441,97
134,CONT_00134,Newsletter,2493,2024-04-23,CAMP_001,32,28597,8489
135,CONT_00135,SocialMedia,960,2023-11-19,CAMP_008,47,48880,2674
136,CONT_00136,Newsletter,525,2023-01-30,CAMP_006,14,13773,1742
137,CONT_00137,Newsletter,548,2023-05-31,CAMP_004,13,4293,1186
138,CONT_00138,Blog,48,2024-08-17,CAMP_009,11,2436,145
139,CONT_00139,Video,195,2023-04-12,CAMP_009,45,3801,1005
140,CONT_00140,Newsletter,74,2024-11-07,CAMP_007,13,708,194
141,CONT_00141,Newsletter,1045,2024-10-26,CAMP_002,28,45431,2898
142,CONT_00142,Newsletter,1644,2024-05-31,CAMP_009,5,25298,6399
143,CONT_00143,SocialMedia,51,2024-01-14,CAMP_003,35,3576,369
144,CONT_00144,Video,118,2024-07-13,CAMP_002,44,33502,430
145,CONT_00145,Newsletter,594,2023-04-14,CAMP_010,40,10774,2635
146,CONT_00146,Newsletter,37,2023-05-07,CAMP_001,36,29523,187
147,CONT_00147,Blog,27,2024-09-24,CAMP_009,23,17827,4627
148,CONT_00148,Video,2266,2024-08-10,CAMP_001,18,35280,7521
149,CONT_00149,SocialMedia,2218,2024-01-22,CAMP_008,48,27794,5265
150,CONT_00150,SocialMedia,65,2023-03-13,CAMP_009,45,12479,459
151,CONT_00151,Blog,1229,2023-02-27,CAMP_006,41,28188,6849
152,CONT_00152,Newsletter,665,2023-01-25,CAMP_009,32,20402,1873
153,CONT_00153,Blog,1083,2023-06-27,CAMP_006,46,14370,3696
154,CONT_00154,SocialMedia,762,2024-06-22,CAMP_009,32,8804,1763
155,CONT_00155,Blog,173,2024-05-13,CAMP_009,41,5762,733
156,CONT_00156,Blog,830,2023-03-21,CAMP_005,11,48603,7252
157,CONT_00157,Blog,1598,2023-05-21,CAMP_005,31,44320,5591
158,CONT_00158,Video,412,2023-04-24,CAMP_008,35,17017,2067
159,CONT_00159,SocialMedia,329,2023-12-27,CAMP_010,31,47843,13275
160,CONT_00160,Newsletter,168,2023-01-15,CAMP_008,34,2598,590
161,CONT_00161,Video,37,2023-04-28,CAMP_006,29,26778,2123
162,CONT_00162,Newsletter,129,2024-09-06,CAMP_010,45,25809,1187
163,CONT_00163,Newsletter,712,2024-10-08,CAMP_003,21,21249,3551
164,CONT_00164,Video,279,2023-12-09,CAMP_009,28,20206,1276
165,CONT_00165,Newsletter,1182,2024-09-13,CAMP_001,30,40485,2977
166,CONT_00166,SocialMedia,1944,2024-09-22,CAMP_005,3,47595,6931
167,CONT_00167,Newsletter,143,2023-04-17,CAMP_004,34,6981,693
168,CONT_00168,SocialMedia,1677,2024-11-18,CAMP_009,34,15795,4613
169,CONT_00169,SocialMedia,425,2024-07-03,CAMP_010,34,40879,2261
170,CONT_00170,Newsletter,1045,2024-03-09,CAMP_009,48,23971,5349
171,CONT_00171,Newsletter,365,2023-03-03,CAMP_004,24,27519,7107
172,CONT_00172,Newsletter,2281,2023-02-23,CAMP_009,20,18108,5304
173,CONT_00173,SocialMedia,322,2024-08-16,CAMP_003,27,5690,1495
174,CONT_00174,SocialMedia,26,2024-10-25,CAMP_007,3,41584,6040
175,CONT_00175,Blog,432,2023-10-20,CAMP_007,41,10241,1802
176,CONT_00176,Blog,301,2024-09-11,CAMP_001,37,28938,1286
177,CONT_00177,Blog,450,2024-02-06,CAMP_006,43,39644,1792
178,CONT_00178,Video,1028,2023-02-09,CAMP_001,7,20880,5950
179,CONT_00179,Newsletter,276,2024-11-01,CAMP_008,47,18113,3327
180,CONT_00180,Video,1290,2023-01-05,CAMP_006,12,43151,11369
181,CONT_00181,SocialMedia,4158,2024-04-13,CAMP_004,4,44722,9059
182,CONT_00182,Newsletter,65,2024-02-26,CAMP_007,24,13495,696
183,CONT_00183,Newsletter,105,2024-04-03,CAMP_001,41,7446,237
184,CONT_00184,Newsletter,136,2023-04-06,CAMP_004,43,4807,291
185,CONT_00185,Video,44,2023-01-23,CAMP_007,18,10122,1514
186,CONT_00186,SocialMedia,3241,2023-09-21,CAMP_004,20,30540,6939
187,CONT_00187,Video,584,2024-03-17,CAMP_006,4,27625,5594
188,CONT_00188,Video,2018,2024-11-19,CAMP_005,6,19141,4138
189,CONT_00189,Blog,42,2024-01-18,CAMP_010,23,1474,130
190,CONT_00190,SocialMedia,4093,2023-12-18,CAMP_006,39,36507,8856
191,CONT_00191,Newsletter,131,2023-09-24,CAMP_002,44,37447,3118
192,CONT_00192,Video,1094,2023-06-18,CAMP_004,4,11225,3283
193,CONT_00193,Blog,30,2024-11-05,CAMP_004,41,18442,1942
194,CONT_00194,SocialMedia,2897,2023-10-13,CAMP_005,42,32940,7553
195,CONT_00195,Video,643,2023-12-20,CAMP_008,34,47526,2433
196,CONT_00196,Newsletter,230,2023-10-30,CAMP_008,30,33195,4676
197,CONT_00197,SocialMedia,3232,2023-10-08,CAMP_010,31,42210,12575
198,CONT_00198,SocialMedia,4187,2023-08-05,CAMP_005,7,48914,13246
199,CONT_00199,Blog,620,2023-01-23,CAMP_001,39,41644,10848
200,CONT_00200,Newsletter,638,2024-06-04,CAMP_003,38,19608,1473
201,CONT_00201,SocialMedia,547,2023-05-05,CAMP_003,33,42184,4304
202,CONT_00202,SocialMedia,2485,2024-04-26,CAMP_001,50,33656,5762
203,CONT_00203,SocialMedia,11,2023-12-17,CAMP_006,31,39306,1220
204,CONT_00204,Blog,946,2023-09-28,CAMP_006,25,35154,4326
205,CONT_00205,Video,466,2023-10-21,CAMP_004,17,43141,2464
206,CONT_00206,Video,141,2023-01-21,CAMP_007,42,31131,489
207,CONT_00207,SocialMedia,1220,2023-12-03,CAMP_010,42,48586,3971
208,CONT_00208,Video,2217,2023-11-30,CAMP_010,2,29978,8895
209,CONT_00209,Newsletter,1021,2023-06-09,CAMP_009,11,45783,11981
210,CONT_00210,Blog,110,2023-11-12,CAMP_003,7,5177,423
211,CONT_00211,Blog,2006,2024-07-20,CAMP_009,38,17708,4111
212,CONT_00212,SocialMedia,222,2024-05-14,CAMP_001,24,42157,7516
213,CONT_00213,Blog,2653,2023-01-21,CAMP_007,9,41244,6128
214,CONT_00214,Newsletter,424,2023-07-03,CAMP_005,46,12657,1867
215,CONT_00215,SocialMedia,323,2023-01-04,CAMP_008,39,22435,3761
216,CONT_00216,Blog,256,2024-06-09,CAMP_010,48,32683,706
217,CONT_00217,SocialMedia,4062,2024-11-10,CAMP_006,11,34389,8221
218,CONT_00218,SocialMedia,3433,2023-07-19,CAMP_007,37,41244,7171
219,CONT_00219,Blog,577,2023-10-02,CAMP_002,44,20196,3015
220,CONT_00220,SocialMedia,1480,2024-08-05,CAMP_003,34,24245,3755
221,CONT_00221,SocialMedia,46,2023-04-14,CAMP_007,23,10121,2526
222,CONT_00222,Blog,2579,2023-06-19,CAMP_008,19,47915,9508
223,CONT_00223,Newsletter,3932,2023-04-12,CAMP_006,42,36111,8145
224,CONT_00224,Video,46,2024-10-25,CAMP_008,37,13152,888
225,CONT_00225,SocialMedia,1323,2023-11-02,CAMP_008,22,44090,3542
226,CONT_00226,Newsletter,3079,2023-04-08,CAMP_008,25,40887,6980
227,CONT_00227,Video,215,2023-01-21,CAMP_001,3,9838,511
228,CONT_00228,SocialMedia,2511,2024-07-30,CAMP_006,34,28297,5091
229,CONT_00229,Newsletter,17,2024-10-13,CAMP_003,21,827,139
230,CONT_00230,SocialMedia,457,2024-10-27,CAMP_007,13,43219,925
231,CONT_00231,Blog,67,2023-08-09,CAMP_008,25,683,134
232,CONT_00232,SocialMedia,2605,2024-08-12,CAMP_003,46,36956,7712
233,CONT_00233,Newsletter,777,2023-07-03,CAMP_007,33,25718,6396
234,CONT_00234,Newsletter,54,2023-06-17,CAMP_005,49,6322,207
235,CONT_00235,SocialMedia,63,2024-03-31,CAMP_006,29,9281,2738
236,CONT_00236,SocialMedia,1237,2023-09-15,CAMP_010,18,20847,5383
237,CONT_00237,Blog,2712,2023-10-04,CAMP_006,44,37494,6203
238,CONT_00238,Newsletter,576,2023-10-12,CAMP_001,37,17716,1708
239,CONT_00239,SocialMedia,373,2024-04-06,CAMP_004,43,29778,1269
240,CONT_00240,Newsletter,66,2023-03-02,CAMP_006,44,863,215
241,CONT_00241,Blog,100,2024-10-23,CAMP_002,2,10727,1481
242,CONT_00242,SocialMedia,1865,2023-05-14,CAMP_001,31,35316,7169
243,CONT_00243,Video,774,2024-02-29,CAMP_007,5,18449,2325
244,CONT_00244,Newsletter,2821,2024-01-21,CAMP_001,6,48223,7572
245,CONT_00245,Video,288,2023-01-02,CAMP_002,1,18215,1971
246,CONT_00246,SocialMedia,938,2024-01-23,CAMP_005,30,24881,2853
247,CONT_00247,Video,3244,2024-01-07,CAMP_008,13,42600,12661
248,CONT_00248,SocialMedia,1242,2023-03-27,CAMP_001,22,31734,7909
249,CONT_00249,Blog,96,2023-06-05,CAMP_004,16,21761,5082
250,CONT_00250,Blog,1568,2024-12-20,CAMP_003,8,19961,3541
251,CONT_00251,Video,117,2023-04-11,CAMP_007,22,42211,433
252,CONT_00252,SocialMedia,1722,2023-01-13,CAMP_006,14,30833,3650
253,CONT_00253,Video,25,2024-12-27,CAMP_009,5,39586,51
254,CONT_00254,Newsletter,106,2023-04-25,CAMP_006,4,13764,305
255,CONT_00255,Newsletter,213,2023-05-05,CAMP_007,39,3808,934
256,CONT_00256,Blog,179,2024-08-13,CAMP_001,18,30622,995
257,CONT_00257,Blog,3854,2024-03-29,CAMP_010,28,43551,9456
258,CONT_00258,SocialMedia,1699,2024-03-29,CAMP_001,37,38199,4720
259,CONT_00259,Newsletter,1120,2024-09-22,CAMP_007,5,36512,7606
260,CONT_00260,SocialMedia,47,2024-06-09,CAMP_008,35,34006,3637
261,CONT_00261,Video,4175,2024-05-31,CAMP_003,17,30143,8883
262,CONT_00262,SocialMedia,2185,2024-02-06,CAMP_009,44,41245,6657
263,CONT_00263,Newsletter,2067,2023-07-11,CAMP_004,1,29794,4205
264,CONT_00264,Blog,342,2023-09-21,CAMP_008,22,29353,1111
265,CONT_00265,Video,1568,2023-08-10,CAMP_007,29,13240,3539
266,CONT_00266,SocialMedia,51,2024-01-27,CAMP_008,49,6257,184
267,CONT_00267,Blog,1105,2023-07-06,CAMP_005,49,35607,2661
268,CONT_00268,Newsletter,985,2024-10-18,CAMP_004,29,40419,10577
269,CONT_00269,Blog,155,2023-10-13,CAMP_003,43,21868,508
270,CONT_00270,SocialMedia,2344,2024-02-23,CAMP_004,31,24990,7474
271,CONT_00271,Blog,103,2023-04-19,CAMP_009,47,8243,306
272,CONT_00272,Blog,2386,2023-01-24,CAMP_001,18,25482,6662
273,CONT_00273,Newsletter,1512,2023-11-09,CAMP_005,39,20414,3590
274,CONT_00274,Video,2247,2023-03-08,CAMP_006,7,23248,5639
275,CONT_00275,SocialMedia,200,2024-12-21,CAMP_002,40,10704,2075
276,CONT_00276,SocialMedia,455,2023-01-22,CAMP_010,33,35555,9823
277,CONT_00277,Newsletter,433,2024-06-19,CAMP_002,19,3775,915
278,CONT_00278,Video,2969,2024-02-03,CAMP_002,7,28608,7040
279,CONT_00279,Newsletter,1257,2023-10-12,CAMP_003,1,45381,2542
280,CONT_00280,Newsletter,295,2023-01-31,CAMP_006,48,31222,871
281,CONT_00281,Video,57,2023-09-19,CAMP_010,42,18858,5606
282,CONT_00282,Newsletter,2650,2024-12-19,CAMP_008,12,45337,9706
283,CONT_00283,Video,25,2023-07-22,CAMP_002,24,2694,286
284,CONT_00284,Blog,388,2024-04-03,CAMP_006,38,34573,6826
285,CONT_00285,Newsletter,645,2024-09-17,CAMP_005,41,10483,2860
286,CONT_00286,Newsletter,634,2023-10-04,CAMP_010,23,42788,1697
287,CONT_00287,SocialMedia,316,2024-08-09,CAMP_001,6,24282,666
288,CONT_00288,Blog,227,2023-09-26,CAMP_010,9,26944,1953
289,CONT_00289,SocialMedia,2866,2024-04-29,CAMP_001,35,49777,8017
290,CONT_00290,Video,875,2024-06-02,CAMP_003,16,44998,2760
291,CONT_00291,Video,720,2023-10-12,CAMP_005,35,17796,1676
292,CONT_00292,SocialMedia,17,2023-05-04,CAMP_006,42,34748,118
293,CONT_00293,Video,418,2024-11-19,CAMP_006,7,39954,4579
294,CONT_00294,SocialMedia,518,2023-06-10,CAMP_004,31,24256,3068
295,CONT_00295,Video,506,2023-05-01,CAMP_008,21,14636,4104
296,CONT_00296,SocialMedia,461,2023-05-31,CAMP_005,16,10307,2841
297,CONT_00297,Video,219,2024-08-05,CAMP_006,48,6791,1562
298,CONT_00298,Newsletter,1800,2023-06-19,CAMP_009,1,28841,5389
299,CONT_00299,Newsletter,48,2023-01-13,CAMP_007,46,15094,3112
300,CONT_00300,Video,1345,2024-06-19,CAMP_001,20,21844,6368
301,CONT_00301,SocialMedia,131,2024-11-26,CAMP_009,11,19676,391
302,CONT_00302,Newsletter,2146,2024-03-27,CAMP_003,37,48647,5740
303,CONT_00303,SocialMedia,105,2024-03-14,CAMP_003,41,49596,7452
304,CONT_00304,Video,789,2023-01-20,CAMP_009,4,30845,3614
305,CONT_00305,Video,224,2023-05-28,CAMP_004,46,9214,606
306,CONT_00306,Blog,92,2023-03-07,CAMP_002,24,30658,6165
307,CONT_00307,SocialMedia,3070,2023-01-26,CAMP_004,20,42175,7410
308,CONT_00308,Blog,986,2023-12-12,CAMP_007,45,19216,3685
309,CONT_00309,Newsletter,252,2024-03-26,CAMP_010,38,32452,1520
310,CONT_00310,Newsletter,180,2023-09-12,CAMP_009,12,2533,756
311,CONT_00311,Blog,466,2024-11-05,CAMP_010,25,46667,2508
312,CONT_00312,Video,809,2024-10-22,CAMP_008,49,49504,6009
313,CONT_00313,Newsletter,243,2023-06-12,CAMP_006,25,19384,2771
314,CONT_00314,SocialMedia,44,2024-11-03,CAMP_004,18,10539,99
315,CONT_00315,Newsletter,548,2024-08-25,CAMP_010,44,44842,4454
316,CONT_00316,Newsletter,239,2023-03-18,CAMP_009,44,34434,981
317,CONT_00317,Newsletter,2345,2024-08-29,CAMP_004,39,48268,7136
318,CONT_00318,Video,178,2024-06-25,CAMP_004,34,2920,443
319,CONT_00319,SocialMedia,84,2024-08-19,CAMP_009,47,5127,830
320,CONT_00320,Newsletter,1002,2024-06-03,CAMP_006,45,45983,3089
321,CONT_00321,Newsletter,72,2024-03-07,CAMP_004,41,7434,284
322,CONT_00322,Blog,2677,2024-10-28,CAMP_007,12,39723,5506
323,CONT_00323,Video,3150,2024-09-20,CAMP_005,5,45495,9573
324,CONT_00324,SocialMedia,1092,2024-07-13,CAMP_010,38,11517,2290
325,CONT_00325,Blog,3152,2023-02-01,CAMP_009,5,36441,8478
326,CONT_00326,Blog,22,2023-10-17,CAMP_010,48,737,167
327,CONT_00327,SocialMedia,62,2023-09-08,CAMP_007,33,13891,3328
328,CONT_00328,Blog,2080,2023-10-21,CAMP_005,50,22368,4624
329,CONT_00329,Video,241,2023-07-23,CAMP_003,28,32479,2250
330,CONT_00330,Newsletter,1154,2023-08-18,CAMP_002,46,27807,3530
331,CONT_00331,Blog,420,2023-11-08,CAMP_004,33,33549,948
332,CONT_00332,Video,312,2024-04-25,CAMP_010,32,3557,839
333,CONT_00333,Video,1080,2023-06-30,CAMP_002,36,25128,4249
334,CONT_00334,Blog,43,2024-04-28,CAMP_005,30,2659,117
335,CONT_00335,SocialMedia,1881,2023-04-18,CAMP_002,11,47253,11395
336,CONT_00336,Newsletter,1276,2024-02-01,CAMP_001,14,45834,7271
337,CONT_00337,Blog,78,2023-03-15,CAMP_008,34,14427,925
338,CONT_00338,Blog,88,2023-07-01,CAMP_004,9,49730,327
339,CONT_00339,Newsletter,762,2023-03-23,CAMP_009,21,34964,8970
340,CONT_00340,SocialMedia,119,2023-09-25,CAMP_002,25,14829,249
341,CONT_00341,Video,821,2023-04-02,CAMP_009,37,30222,2793
342,CONT_00342,Blog,109,2023-02-13,CAMP_001,5,23052,1895
343,CONT_00343,Newsletter,673,2023-03-07,CAMP_004,26,12353,3153
344,CONT_00344,SocialMedia,157,2023-03-18,CAMP_004,43,36100,10737
345,CONT_00345,Newsletter,82,2024-10-30,CAMP_009,6,12075,172
346,CONT_00346,Video,1271,2024-02-01,CAMP_002,46,18669,3229
347,CONT_00347,SocialMedia,136,2023-05-27,CAMP_008,11,2849,526
348,CONT_00348,Blog,109,2024-12-13,CAMP_010,36,19003,3035
349,CONT_00349,Blog,478,2023-09-04,CAMP_004,24,13915,2924
350,CONT_00350,Blog,777,2024-03-07,CAMP_003,21,26861,5868
351,CONT_00351,Blog,1557,2023-05-03,CAMP_008,16,38261,4508
352,CONT_00352,Blog,315,2023-12-13,CAMP_002,14,24301,5502
353,CONT_00353,SocialMedia,212,2024-03-29,CAMP_004,4,2421,655
354,CONT_00354,SocialMedia,29,2023-04-06,CAMP_004,22,507,111
355,CONT_00355,Newsletter,586,2023-02-21,CAMP_004,25,16153,1987
356,CONT_00356,SocialMedia,1978,2023-10-12,CAMP_004,15,34413,5979
357,CONT_00357,Blog,12,2023-01-29,CAMP_009,20,33554,368
358,CONT_00358,Blog,2009,2024-01-05,CAMP_001,6,45173,6229
359,CONT_00359,Video,284,2024-02-05,CAMP_006,1,16305,1043
360,CONT_00360,Blog,748,2024-06-07,CAMP_005,25,17255,3082
361,CONT_00361,Video,74,2023-04-19,CAMP_010,2,4343,250
362,CONT_00362,SocialMedia,22,2023-12-23,CAMP_002,39,643,74
363,CONT_00363,Blog,38,2024-05-13,CAMP_006,3,1536,354
364,CONT_00364,Newsletter,340,2024-02-04,CAMP_008,31,8363,2419
365,CONT_00365,Video,202,2024-02-05,CAMP_003,43,18887,3336
