journeyid,customerid,productid,visitdate,stage,action,duration
3416,11,29,2023-10-03,ProductPage,Click,215.0
2414,11,34,2024-05-04,Homepage,View,211.0
3089,12,3,2023-09-11,Checkout,Purchase,214.6
1694,12,6,2024-07-05,Purchase,Purchase,585.7
2367,12,11,2023-02-15,Homepage,Click,507.0
265,12,11,2024-09-05,Checkout,Drop-off,
1660,12,22,2023-08-03,ProductPage,View,295.0
413,12,39,2024-08-26,Checkout,Drop-off,
2055,12,45,2024-08-31,ProductPage,View,529.9
3775,13,4,2023-03-29,ProductPage,Click,27.5
784,13,10,2024-05-10,ProductPage,AddToCart,283.2
2629,13,15,2024-03-13,Purchase,Purchase,143.3
1175,13,29,2023-03-13,ProductPage,AddToCart,332.8
2600,13,45,2023-12-01,Purchase,Purchase,486.0
2802,14,14,2024-04-23,Homepage,Click,111.2
3935,14,17,2024-07-07,Homepage,Click,499.0
2231,14,26,2024-02-23,Purchase,Purchase,161.1
2213,15,7,2024-11-10,Homepage,Drop-off,
3461,15,11,2024-06-08,ProductPage,Drop-off,
2128,15,12,2023-07-18,Checkout,Drop-off,
1164,15,18,2024-07-08,ProductPage,Click,246.9
3274,15,31,2024-11-08,Purchase,Purchase,334.7
941,15,33,2023-09-21,Homepage,Click,104.3
2120,15,36,2023-01-28,Purchase,Purchase,545.0
1525,15,45,2024-11-12,ProductPage,View,160.0
2047,15,46,2024-12-18,Checkout,Drop-off,
254,15,49,2023-04-17,Purchase,Purchase,417.1
3116,16,8,2024-10-08,ProductPage,Click,146.2
2268,16,19,2023-05-04,ProductPage,View,159.5
2396,16,22,2024-01-15,Homepage,View,557.4
489,16,31,2023-06-10,ProductPage,View,332.0
3088,16,47,2023-06-12,ProductPage,View,291.1
70,17,1,2023-01-27,ProductPage,AddToCart,447.3
735,17,8,2023-07-29,Checkout,Drop-off,
3693,17,8,2024-06-13,ProductPage,Click,342.6
554,17,9,2023-12-24,Checkout,Purchase,464.6
2995,17,12,2024-07-24,Checkout,Drop-off,
2391,17,21,2023-05-26,Homepage,Click,277.6
1441,17,25,2023-09-29,Checkout,Drop-off,
1510,17,30,2023-02-21,Checkout,Drop-off,
2566,17,33,2023-02-07,ProductPage,Click,149.8
1410,17,37,2023-02-10,Purchase,Purchase,154.1
3958,18,8,2023-09-04,Purchase,Purchase,573.2
1191,18,9,2023-01-06,Checkout,Drop-off,
3735,18,22,2023-02-07,ProductPage,AddToCart,359.4
2528,18,24,2023-06-10,Purchase,Purchase,28.5
1527,18,25,2023-11-17,Homepage,Click,42.3
2189,18,33,2023-09-17,Purchase,Purchase,390.6
3268,18,45,2024-07-24,Checkout,AddToCart,108.2
1020,18,48,2024-01-30,Homepage,Click,384.4
2985,19,6,2024-09-14,Homepage,View,70.6
883,19,13,2023-01-26,ProductPage,Click,191.6
2634,19,14,2023-03-17,Checkout,Drop-off,
2817,19,21,2024-12-02,ProductPage,AddToCart,157.6
3687,19,31,2023-09-24,ProductPage,AddToCart,557.1
437,19,32,2024-06-03,ProductPage,AddToCart,511.4
3581,19,37,2023-09-30,ProductPage,View,375.9
263,19,41,2023-08-19,ProductPage,Click,158.6
2476,19,41,2024-10-04,Homepage,View,139.9
56,19,49,2023-02-16,Checkout,Drop-off,
3460,20,12,2024-12-01,Purchase,Purchase,433.2
2975,20,25,2023-05-26,ProductPage,View,267.4
486,20,25,2023-07-08,Homepage,Click,373.0
674,20,35,2023-07-25,Checkout,AddToCart,491.2
2282,20,49,2024-08-29,Checkout,Purchase,135.2
3110,21,2,2023-08-26,Homepage,View,154.9
1154,21,2,2023-09-08,Purchase,Purchase,154.9
3028,21,9,2024-02-09,Purchase,Purchase,104.6
400,21,9,2024-11-25,Homepage,View,273.1
2473,21,29,2024-01-01,Purchase,Purchase,434.7
1802,21,39,2024-04-20,ProductPage,View,52.9
1839,22,2,2023-12-29,ProductPage,View,39.7
1747,22,7,2023-08-05,Homepage,View,166.8
2963,22,7,2024-06-28,Checkout,Drop-off,
2108,22,8,2024-09-24,Homepage,Click,556.1
3787,22,13,2023-02-26,ProductPage,Click,492.7
3130,22,23,2023-03-02,Purchase,Purchase,427.5
1723,22,32,2023-08-13,Homepage,Click,135.8
1676,22,33,2024-09-20,Purchase,Purchase,302.5
3952,22,34,2024-12-30,ProductPage,Click,247.4
3044,22,35,2024-07-08,Homepage,Drop-off,
1476,22,38,2024-06-16,Checkout,Drop-off,
3072,22,39,2023-04-21,Homepage,Click,222.8
1952,22,43,2023-05-18,ProductPage,Click,103.5
1705,23,1,2024-09-09,ProductPage,View,318.5
817,23,5,2024-02-11,ProductPage,Click,246.8
958,23,9,2024-05-26,Checkout,Drop-off,
1916,23,15,2023-07-30,Purchase,Purchase,40.8
1198,23,21,2023-10-20,Checkout,Drop-off,
1505,23,32,2023-04-13,Purchase,Purchase,283.6
2760,23,39,2023-08-29,Checkout,AddToCart,55.7
115,24,1,2023-05-22,ProductPage,Click,168.3
2066,24,5,2023-09-25,Checkout,AddToCart,448.7
2376,24,7,2024-06-17,Checkout,AddToCart,133.8
3211,24,16,2024-12-31,Checkout,AddToCart,372.4
851,24,21,2023-07-03,Checkout,Purchase,428.8
213,24,22,2024-01-01,Purchase,Purchase,301.0
976,24,28,2024-03-19,Purchase,Purchase,17.7
1106,24,32,2023-01-24,Checkout,Purchase,197.3
3359,24,33,2023-04-21,Purchase,Purchase,435.0
34,24,44,2023-05-29,ProductPage,AddToCart,88.2
2288,24,45,2024-04-23,Purchase,Purchase,545.1
1414,25,12,2023-02-11,Homepage,View,288.5
2785,25,18,2024-03-06,Purchase,Purchase,207.5
2757,25,22,2023-02-23,Purchase,Purchase,150.8
2949,25,41,2023-06-04,ProductPage,View,555.2
3776,25,43,2023-04-21,Homepage,View,82.9
870,26,12,2023-06-01,Homepage,Click,403.5
616,26,37,2023-07-31,Checkout,Drop-off,
2160,26,46,2023-07-26,ProductPage,View,283.3
1132,26,50,2024-02-14,Purchase,Purchase,363.1
1717,27,10,2023-08-09,ProductPage,View,490.5
3884,27,13,2024-03-08,ProductPage,View,361.1
3738,27,27,2024-09-03,Purchase,Purchase,49.2
2226,27,30,2023-07-21,Checkout,AddToCart,125.7
1872,27,39,2024-07-07,Checkout,AddToCart,498.6
894,27,47,2024-06-03,Checkout,AddToCart,385.3
3267,28,5,2024-01-17,Checkout,Purchase,287.4
1630,28,23,2024-04-21,Purchase,Purchase,56.1
2818,28,29,2024-03-30,Checkout,Drop-off,
868,28,41,2024-08-20,Homepage,Click,411.6
1157,28,43,2023-09-12,ProductPage,AddToCart,271.0
3607,28,49,2024-03-18,Purchase,Purchase,367.0
283,29,7,2023-12-31,Purchase,Purchase,588.4
517,29,27,2024-11-09,Homepage,Click,155.1
2291,29,33,2024-11-21,Checkout,Drop-off,
1801,29,48,2023-03-14,Purchase,Purchase,151.6
47,30,6,2024-05-12,ProductPage,View,63.2
2355,30,11,2023-12-15,Purchase,Purchase,576.4
3208,30,23,2023-03-15,Purchase,Purchase,72.8
2711,30,24,2024-06-28,ProductPage,View,491.0
1646,30,26,2023-05-19,ProductPage,View,518.4
3575,30,44,2024-05-04,Checkout,Purchase,36.2
2621,31,9,2023-07-29,Checkout,Drop-off,
929,31,18,2024-09-16,Purchase,Purchase,237.0
594,31,19,2023-07-25,Checkout,AddToCart,239.3
2170,31,20,2023-12-10,Homepage,Click,328.5
1605,31,24,2023-02-02,ProductPage,Click,495.4
2180,31,38,2023-05-01,ProductPage,View,53.3
2441,31,40,2024-05-09,Checkout,AddToCart,452.9
3329,31,41,2023-08-01,Checkout,AddToCart,485.7
2187,31,44,2024-01-18,Homepage,View,12.8
1785,32,10,2024-12-14,Homepage,View,582.7
1975,32,16,2023-08-07,ProductPage,AddToCart,363.9
3965,32,18,2024-03-27,Checkout,Drop-off,
3269,32,28,2024-11-09,ProductPage,View,482.5
1657,32,39,2023-08-03,Checkout,Purchase,111.7
3175,32,44,2024-12-05,Checkout,AddToCart,513.2
2883,32,46,2023-09-23,Checkout,AddToCart,328.9
308,32,50,2023-08-16,ProductPage,View,563.2
26,33,2,2024-01-12,Checkout,Drop-off,
1009,33,3,2023-08-14,Checkout,AddToCart,314.2
241,33,12,2023-06-09,Checkout,Drop-off,
1093,33,18,2024-10-25,Purchase,Purchase,377.4
1865,33,23,2024-02-20,Purchase,Purchase,415.4
2107,33,24,2024-05-31,Checkout,AddToCart,12.6
1158,33,27,2024-01-08,Homepage,View,149.3
3821,33,34,2023-09-04,ProductPage,AddToCart,588.1
1677,33,47,2024-10-04,Purchase,Purchase,236.8
77,34,18,2024-01-25,Purchase,Purchase,401.0
1563,34,20,2023-04-28,Checkout,AddToCart,398.1
2549,34,22,2023-09-10,Checkout,AddToCart,478.5
3075,34,23,2024-08-20,Homepage,View,188.5
1122,34,24,2024-03-29,Checkout,Purchase,155.2
3319,34,29,2023-01-12,ProductPage,Click,588.9
2011,34,33,2024-05-20,ProductPage,Click,577.5
3038,34,36,2023-03-28,ProductPage,AddToCart,175.7
3679,34,43,2023-10-13,Checkout,AddToCart,462.9
1791,34,45,2024-10-23,Homepage,View,61.7
2971,35,1,2023-11-16,ProductPage,View,65.9
2644,35,3,2023-06-07,Checkout,Drop-off,
2875,35,5,2023-03-31,Checkout,Drop-off,
1813,35,20,2024-10-29,ProductPage,Drop-off,
2599,35,23,2023-12-06,ProductPage,Click,69.8
2779,35,25,2023-01-29,Homepage,View,64.5
2042,35,37,2024-08-21,Checkout,Drop-off,
1117,35,46,2024-07-30,Checkout,Drop-off,
3234,36,12,2023-05-19,Checkout,Drop-off,
3919,36,12,2023-11-04,Purchase,Purchase,555.2
622,36,15,2024-01-23,Purchase,Purchase,318.4
3280,36,23,2023-01-25,Checkout,Purchase,342.2
1404,36,31,2024-11-26,Checkout,AddToCart,72.1
2672,37,6,2023-06-15,Checkout,Purchase,167.8
1905,37,15,2023-10-10,ProductPage,Drop-off,
539,37,16,2024-04-17,ProductPage,Click,566.4
3904,37,22,2023-08-04,ProductPage,View,523.8
2325,38,9,2024-06-11,Purchase,Purchase,247.4
1967,38,11,2024-03-12,Purchase,Purchase,480.8
1455,38,17,2024-07-11,Homepage,View,396.1
1761,38,31,2024-08-22,Purchase,Purchase,137.5
2419,38,31,2024-08-31,ProductPage,View,55.5
2403,39,6,2024-11-15,ProductPage,Drop-off,
1681,39,12,2024-01-18,Homepage,View,519.6
860,39,16,2023-06-14,Checkout,Drop-off,
1853,39,17,2023-12-04,Purchase,Purchase,91.3
1784,39,18,2023-07-14,Homepage,Click,300.6
2903,39,18,2024-07-02,Purchase,Purchase,442.3
2238,39,20,2023-08-16,ProductPage,View,316.6
3403,39,32,2023-11-12,Checkout,Purchase,119.0
442,39,37,2023-04-05,Homepage,Click,61.8
1843,40,1,2023-06-02,ProductPage,Click,473.5
3451,40,7,2023-12-06,Checkout,Purchase,323.1
1796,40,12,2023-04-13,ProductPage,View,280.2
2623,40,16,2023-12-22,Checkout,AddToCart,428.3
2041,40,20,2024-09-10,Homepage,Drop-off,
344,40,24,2023-10-31,Homepage,Click,330.6
959,40,24,2024-09-09,Checkout,AddToCart,48.5
1411,40,27,2023-04-09,Checkout,Drop-off,
1094,40,32,2023-08-05,Checkout,Purchase,128.1
1351,40,34,2023-09-15,Purchase,Purchase,249.4
3936,40,40,2023-04-20,Homepage,Drop-off,
3746,41,4,2024-04-02,ProductPage,View,562.4
3518,41,30,2023-01-11,ProductPage,Drop-off,
2094,41,41,2024-04-28,ProductPage,View,476.8
3192,41,47,2023-04-08,Checkout,Drop-off,
1749,41,47,2023-04-13,Homepage,View,172.1
2680,41,49,2024-10-20,Purchase,Purchase,187.2
2326,41,50,2023-02-27,Checkout,Purchase,522.0
2574,42,20,2024-12-30,Purchase,Purchase,405.1
3826,42,22,2024-04-07,Homepage,Click,589.4
778,42,26,2023-12-24,Homepage,View,227.6
1943,42,32,2023-12-07,ProductPage,Click,133.5
2661,42,47,2023-09-10,Checkout,Drop-off,
2185,43,12,2024-03-30,Homepage,View,112.1
2567,43,14,2024-12-04,Purchase,Purchase,95.7
836,43,19,2024-04-24,Purchase,Purchase,187.2
967,43,19,2024-05-28,Homepage,Click,52.1
3215,43,19,2024-09-04,Purchase,Purchase,448.8
449,43,19,2024-10-31,Checkout,AddToCart,233.1
2532,43,23,2024-12-03,Homepage,Click,104.9
2294,43,31,2024-08-08,Homepage,Click,266.3
688,43,36,2024-11-03,ProductPage,AddToCart,174.7
1953,43,45,2023-07-14,Purchase,Purchase,472.4
1012,43,45,2024-03-14,Checkout,AddToCart,33.2
2204,43,48,2023-01-09,ProductPage,Click,582.3
2188,44,9,2023-04-09,Homepage,Click,335.4
3978,44,14,2023-08-25,Checkout,Drop-off,
3909,44,16,2024-07-09,Checkout,Purchase,223.4
914,44,21,2023-04-05,Homepage,View,110.8
166,44,23,2023-11-25,ProductPage,Click,277.9
330,44,38,2024-08-23,Checkout,Drop-off,
3529,45,8,2023-04-02,Checkout,Drop-off,
839,45,12,2023-11-22,Homepage,Click,231.0
286,45,31,2024-12-06,Checkout,Purchase,349.3
3569,45,39,2023-09-17,ProductPage,Click,454.7
1245,45,42,2023-12-09,Purchase,Purchase,297.5
431,45,47,2024-11-01,Purchase,Purchase,105.3
3045,45,49,2024-08-12,ProductPage,Drop-off,
3314,46,17,2023-12-10,Purchase,Purchase,89.4
3472,46,27,2023-02-26,ProductPage,AddToCart,399.7
847,46,29,2023-11-12,Checkout,Purchase,318.8
367,46,34,2024-12-02,Checkout,Drop-off,
3297,46,47,2023-03-05,Homepage,Drop-off,
1337,47,8,2024-07-24,Homepage,Click,239.7
3230,47,11,2024-01-15,Checkout,AddToCart,438.5
3146,47,11,2024-08-16,Homepage,Click,194.7
1756,47,12,2023-09-24,Purchase,Purchase,391.9
1360,47,19,2023-01-29,Purchase,Purchase,470.1
66,47,39,2024-09-25,Checkout,Drop-off,
2673,47,41,2023-03-23,Homepage,Click,43.9
2331,47,42,2024-07-11,Purchase,Purchase,227.9
2893,48,6,2023-01-27,Purchase,Purchase,100.3
1763,48,9,2024-06-21,Homepage,View,206.9
1899,48,21,2023-02-26,ProductPage,Click,174.0
3534,48,28,2023-11-03,ProductPage,Drop-off,
2745,48,29,2024-06-02,Homepage,Click,210.7
39,48,31,2024-11-06,ProductPage,Drop-off,
1622,48,35,2024-12-10,Checkout,Drop-off,
1870,48,40,2023-11-30,Purchase,Purchase,571.3
1668,48,48,2024-02-23,Purchase,Purchase,343.0
1548,49,11,2024-09-02,Purchase,Purchase,217.9
3840,49,15,2023-01-09,Homepage,Click,123.9
2698,49,15,2023-05-14,Purchase,Purchase,365.6
3097,49,26,2024-08-10,Purchase,Purchase,289.9
1573,49,26,2024-12-16,Homepage,View,380.6
1066,49,36,2023-03-02,Homepage,View,598.1
1139,50,15,2024-07-01,ProductPage,Click,90.9
1500,50,16,2023-07-29,Homepage,Click,42.8
3440,50,18,2023-03-23,Purchase,Purchase,597.2
3417,50,19,2024-08-02,Purchase,Purchase,81.7
1988,50,25,2024-05-18,Checkout,Purchase,130.6
1174,50,31,2023-05-12,Checkout,Drop-off,
2007,50,31,2024-05-19,ProductPage,View,94.1
995,50,40,2024-07-04,ProductPage,View,105.5
1860,50,47,2023-09-08,Purchase,Purchase,530.6
564,50,49,2024-11-05,ProductPage,View,481.9
1440,51,9,2023-08-28,Checkout,Drop-off,
2356,51,10,2024-02-21,Checkout,Purchase,58.4
2039,51,15,2023-09-10,Homepage,Drop-off,
1744,51,23,2023-10-19,ProductPage,View,532.4
509,51,25,2023-05-30,ProductPage,Drop-off,
694,51,33,2024-05-22,Purchase,Purchase,398.3
3844,51,35,2024-08-31,ProductPage,View,397.3
370,51,38,2024-11-29,Checkout,Drop-off,
2373,51,48,2024-09-29,Purchase,Purchase,193.6
1876,52,1,2023-03-04,Checkout,Drop-off,
2697,52,1,2023-12-24,ProductPage,View,290.7
384,52,12,2023-09-18,Purchase,Purchase,40.9
1230,52,21,2023-12-04,Checkout,Drop-off,
3906,52,26,2023-04-29,Checkout,Purchase,42.3
1148,52,26,2024-06-11,ProductPage,AddToCart,303.3
1636,52,27,2024-05-20,Checkout,Purchase,221.7
2630,52,31,2024-01-17,ProductPage,AddToCart,571.0
3944,52,32,2023-07-17,ProductPage,Drop-off,
491,52,34,2024-03-16,Checkout,Drop-off,
2384,52,43,2024-06-16,Checkout,Drop-off,
1787,52,46,2024-05-12,ProductPage,Click,166.8
3503,52,47,2024-06-23,ProductPage,AddToCart,232.9
2926,52,47,2024-12-14,Purchase,Purchase,131.6
61,53,6,2024-09-09,ProductPage,View,150.4
1037,53,10,2024-04-17,Homepage,Click,120.3
29,53,12,2023-06-29,ProductPage,Drop-off,
3276,53,16,2024-01-17,ProductPage,View,65.2
2001,53,19,2023-10-03,ProductPage,AddToCart,98.9
901,53,22,2024-07-02,Checkout,Drop-off,
2023,53,34,2024-10-06,ProductPage,AddToCart,208.7
1938,53,35,2023-10-31,Homepage,Click,548.2
3159,53,38,2024-08-24,Checkout,AddToCart,265.7
1324,53,43,2024-01-15,Purchase,Purchase,495.1
1659,53,44,2023-11-04,ProductPage,Click,462.2
278,53,46,2023-04-29,ProductPage,Click,466.8
2976,54,1,2024-05-12,Homepage,Click,249.2
723,54,14,2024-06-26,ProductPage,Click,94.0
274,54,20,2023-09-15,Homepage,Click,567.8
3835,54,33,2024-02-07,ProductPage,AddToCart,205.5
6,54,36,2023-12-21,Checkout,Purchase,266.7
671,54,48,2023-02-23,ProductPage,View,51.8
3383,55,9,2023-08-13,Checkout,Purchase,129.8
3243,55,9,2024-10-06,Homepage,View,492.3
3406,55,10,2024-07-22,ProductPage,Drop-off,
1850,55,17,2023-06-12,ProductPage,View,345.7
3020,55,21,2023-01-17,Purchase,Purchase,569.7
3361,55,36,2023-12-22,Purchase,Purchase,98.1
3767,56,2,2023-11-05,ProductPage,AddToCart,447.5
3160,56,4,2024-05-10,Purchase,Purchase,223.6
3057,56,6,2023-07-04,Homepage,Drop-off,
1003,56,11,2023-12-25,Homepage,View,365.0
3115,56,47,2023-11-10,Purchase,Purchase,355.9
3618,56,49,2023-05-03,Purchase,Purchase,570.6
404,57,3,2024-04-28,ProductPage,View,261.8
2943,57,11,2023-09-13,ProductPage,Drop-off,
1,57,18,2024-07-13,Purchase,Purchase,220.0
3683,57,21,2023-08-22,Homepage,View,535.9
2390,57,21,2024-07-03,Homepage,View,596.1
2718,57,26,2023-07-16,Homepage,View,394.8
1809,57,36,2024-10-10,Homepage,View,60.7
2377,57,43,2024-01-24,Homepage,Click,388.4
2886,57,46,2023-12-06,Checkout,Drop-off,
1182,57,46,2024-12-24,Homepage,Click,520.1
3321,58,6,2023-08-29,Purchase,Purchase,338.9
2921,58,23,2023-08-04,Checkout,Drop-off,
1927,58,27,2024-12-27,Purchase,Purchase,540.9
3659,58,40,2023-05-25,Purchase,Purchase,124.1
2092,58,42,2024-11-06,Purchase,Purchase,102.7
488,58,44,2024-11-15,Checkout,Purchase,217.5
1392,59,3,2024-03-10,Purchase,Purchase,297.4
979,59,5,2024-04-30,Homepage,Click,361.6
506,59,22,2024-10-22,Homepage,View,465.7
1327,59,26,2024-08-27,ProductPage,AddToCart,490.5
1018,59,28,2024-08-09,ProductPage,Drop-off,
1025,59,32,2024-09-01,ProductPage,View,503.2
1092,59,40,2023-11-07,Checkout,Drop-off,
3986,59,43,2023-11-13,Homepage,Click,546.3
3987,59,44,2024-02-21,Checkout,Drop-off,
3586,59,46,2023-05-20,Checkout,Drop-off,
104,60,1,2023-11-15,Homepage,Click,285.5
3402,60,11,2023-06-06,Purchase,Purchase,517.3
2622,60,12,2024-04-20,Checkout,Drop-off,
3609,60,36,2023-02-10,ProductPage,View,240.5
1992,60,37,2024-01-12,ProductPage,Drop-off,
27,60,45,2023-05-10,Homepage,View,76.8
1141,61,23,2023-10-18,Homepage,View,138.5
3573,61,23,2024-08-06,Purchase,Purchase,228.0
94,61,29,2024-10-01,Homepage,Drop-off,
3453,61,31,2024-06-25,Purchase,Purchase,28.1
830,61,33,2023-05-06,Homepage,View,253.4
2523,61,34,2023-11-15,Homepage,Click,268.6
1997,61,40,2024-09-25,Purchase,Purchase,168.3
950,61,49,2023-10-10,Purchase,Purchase,101.7
3399,62,8,2024-04-08,ProductPage,AddToCart,22.5
3740,62,9,2024-02-15,Homepage,View,20.4
2982,62,16,2023-03-20,Purchase,Purchase,168.0
2712,62,18,2024-10-20,Purchase,Purchase,554.9
1849,62,23,2024-12-01,ProductPage,Click,133.9
3790,62,36,2023-06-07,Purchase,Purchase,464.0
862,62,36,2023-06-08,Checkout,AddToCart,343.4
2308,63,1,2023-11-23,Homepage,Click,199.7
997,63,17,2023-05-05,ProductPage,AddToCart,24.5
16,63,19,2024-02-12,ProductPage,Click,244.1
444,63,20,2024-02-19,Purchase,Purchase,506.6
2088,63,24,2023-02-25,Homepage,Drop-off,
673,63,24,2023-03-20,Homepage,Click,107.3
2329,63,26,2024-08-06,ProductPage,AddToCart,516.1
196,63,30,2023-01-27,ProductPage,AddToCart,281.5
1918,63,33,2024-07-01,Purchase,Purchase,372.5
2937,63,37,2023-09-04,Homepage,View,513.2
2618,63,42,2024-11-15,Checkout,Drop-off,
2286,64,2,2024-09-22,Checkout,Drop-off,
125,64,7,2023-09-10,Purchase,Purchase,107.7
785,64,11,2023-10-14,ProductPage,AddToCart,158.2
2690,64,23,2024-01-21,Checkout,Purchase,590.4
1645,64,30,2024-01-15,ProductPage,Click,175.9
2479,64,34,2023-07-17,Homepage,View,465.9
17,64,39,2023-01-09,Checkout,Purchase,184.0
1050,64,42,2024-07-26,Homepage,View,41.2
2909,64,49,2023-08-01,Homepage,View,337.3
3626,64,50,2024-04-18,Checkout,Drop-off,
1115,65,2,2024-08-12,ProductPage,Click,291.3
2162,65,3,2023-12-05,Homepage,Drop-off,
3819,65,10,2023-12-19,Homepage,Click,211.9
3891,65,14,2024-06-25,Purchase,Purchase,368.4
1858,65,16,2023-05-16,Checkout,AddToCart,225.7
1536,65,32,2023-08-27,Checkout,Drop-off,
3277,65,34,2023-04-24,Homepage,View,283.0
2179,65,34,2024-01-15,Checkout,Purchase,331.2
3357,65,34,2024-08-24,Purchase,Purchase,359.4
2411,65,40,2023-08-17,ProductPage,Drop-off,
52,66,2,2024-08-28,ProductPage,AddToCart,435.7
3247,66,6,2024-08-16,Homepage,Click,17.8
617,66,8,2024-11-18,ProductPage,Click,453.9
3927,66,12,2024-01-30,Checkout,Purchase,254.2
1544,66,20,2024-08-21,Purchase,Purchase,221.1
1490,66,21,2024-02-14,Purchase,Purchase,477.7
2771,66,32,2024-06-23,Checkout,Drop-off,
2806,66,37,2024-06-03,Purchase,Purchase,395.8
1978,66,44,2023-11-04,ProductPage,Click,55.2
148,66,45,2024-05-07,Purchase,Purchase,46.3
923,66,49,2023-01-14,ProductPage,Click,523.2
3899,66,50,2024-05-10,Purchase,Purchase,27.1
3422,67,9,2023-10-16,Homepage,View,498.4
1121,67,37,2024-03-04,Checkout,Purchase,94.4
395,67,39,2024-07-06,Homepage,Drop-off,
