reviewid,customerid,productid,reviewdate,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price,mrp,discountpercent,avgrating,numberofratings,year_month,sentiment_bucket,issue_category
847,199,3,2023-10-28,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0,2499.0,0.6,3.6,1100,2023-10,-1.0 to -0.5,General Dissatisfaction
848,264,50,2023-06-05,2,Size runs small. Return process is very difficult.,-0.4201,Negative,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0,4999.0,15.0,3.7,22,2023-06,-0.49 to 0.0,General Dissatisfaction
849,26,33,2024-09-15,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0,1399.0,0.4,4.0,230,2024-09,-1.0 to -0.5,General Dissatisfaction
853,385,10,2023-07-03,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0,3599.0,0.8,4.1,64,2023-07,-0.49 to 0.0,Product Performance
871,37,23,2024-07-16,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0,2299.0,0.7,3.4,441,2024-07,-0.49 to 0.0,General Dissatisfaction
885,54,4,2023-06-24,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2023-06,-0.49 to 0.0,General Dissatisfaction
888,348,33,2024-06-24,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0,1399.0,0.4,4.0,230,2024-06,-1.0 to -0.5,General Dissatisfaction
892,265,39,2024-03-22,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0,2099.0,0.6,4.1,1100,2024-03,-0.49 to 0.0,Product Cost
895,499,29,2024-05-09,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0,2199.0,0.7,3.8,185,2024-05,-0.49 to 0.0,Product Performance
905,235,35,2024-03-03,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0,2599.0,17.8,3.4,252,2024-03,-1.0 to -0.5,General Dissatisfaction
920,347,36,2023-12-23,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0,2999.0,0.7,4.1,73,2023-12,-0.49 to 0.0,Product Cost
944,378,23,2023-05-28,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0,2299.0,0.7,3.4,441,2023-05,-0.49 to 0.0,General Dissatisfaction
948,465,7,2024-12-11,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0,2099.0,0.6,4.0,4200,2024-12,-1.0 to -0.5,General Dissatisfaction
984,290,34,2023-12-22,2,Delivery was very late. Poor experience.,-0.5233,Negative,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0,3499.0,0.8,3.6,234,2023-12,-1.0 to -0.5,Delivery
994,470,32,2024-07-19,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0,2449.0,0.7,3.5,589,2024-07,-0.49 to 0.0,General Dissatisfaction
1000,196,40,2024-01-17,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0,1699.0,0.6,3.6,45,2024-01,-0.49 to 0.0,General Dissatisfaction
1015,244,40,2024-12-29,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0,1699.0,0.6,3.6,45,2024-12,-1.0 to -0.5,Delivery
1052,44,43,2024-02-27,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0,1999.0,0.5,3.2,6,2024-02,-0.49 to 0.0,General Dissatisfaction
1057,191,46,2024-08-09,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0,1299.0,0.5,3.8,13700,2024-08,-0.49 to 0.0,General Dissatisfaction
1080,359,41,2023-06-26,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0,2999.0,0.4,1.8,423,2023-06,-1.0 to -0.5,General Dissatisfaction
1093,422,27,2024-11-27,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0,3499.0,0.6,4.4,17,2024-11,-0.49 to 0.0,Product Cost
1109,491,47,2023-09-28,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0,2699.0,0.7,4.4,555,2023-09,-1.0 to -0.5,General Dissatisfaction
1117,17,21,2023-10-19,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0,1999.0,0.7,4.2,2000,2023-10,-1.0 to -0.5,General Dissatisfaction
1133,218,32,2023-12-26,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0,2449.0,0.7,3.5,589,2023-12,-1.0 to -0.5,General Dissatisfaction
1149,289,23,2023-12-25,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0,2299.0,0.7,3.4,441,2023-12,-0.49 to 0.0,Product Performance
1158,393,44,2024-03-14,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0,2199.0,0.7,3.3,65,2024-03,-0.49 to 0.0,Product Performance
1178,198,10,2024-02-23,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0,3599.0,0.8,4.1,64,2024-02,-0.49 to 0.0,Product Performance
1180,395,11,2023-06-26,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0,2499.0,0.6,3.8,80,2023-06,-0.49 to 0.0,Product Performance
1188,132,6,2024-01-13,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0,1699.0,0.5,4.0,33,2024-01,-0.49 to 0.0,Product Performance
1191,228,16,2023-07-16,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2023-07,-1.0 to -0.5,General Dissatisfaction
1212,398,14,2024-12-29,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0,2749.0,0.7,3.6,432,2024-12,-1.0 to -0.5,Delivery
1221,181,4,2024-01-25,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2024-01,-0.49 to 0.0,Product Performance
1224,493,42,2024-03-12,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0,3299.0,0.7,4.5,30,2024-03,-0.49 to 0.0,Product Cost
1225,34,4,2023-05-09,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2023-05,-1.0 to -0.5,General Dissatisfaction
1231,352,30,2024-06-22,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0,2599.0,0.7,3.8,314,2024-06,-1.0 to -0.5,General Dissatisfaction
1250,168,12,2023-08-02,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42,2023-08,-1.0 to -0.5,General Dissatisfaction
1251,28,44,2024-01-28,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0,2199.0,0.7,3.3,65,2024-01,-0.49 to 0.0,Product Performance
1255,24,22,2023-09-14,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0,3399.0,0.6,3.8,16,2023-09,-1.0 to -0.5,General Dissatisfaction
1271,459,46,2024-04-26,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0,1299.0,0.5,3.8,13700,2024-04,-1.0 to -0.5,General Dissatisfaction
1276,341,34,2023-04-03,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0,3499.0,0.8,3.6,234,2023-04,-0.49 to 0.0,General Dissatisfaction
1279,149,9,2023-11-21,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0,1899.0,0.6,4.0,63,2023-11,-1.0 to -0.5,Delivery
1284,330,28,2023-03-05,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0,1699.0,0.6,3.5,38,2023-03,-0.49 to 0.0,Product Cost
1299,429,16,2024-01-07,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2024-01,-0.49 to 0.0,Product Performance
1309,202,33,2023-02-25,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0,1399.0,0.4,4.0,230,2023-02,-0.49 to 0.0,Product Cost
1326,16,31,2023-04-20,2,Delivery was very late. Poor experience.,-0.5233,Negative,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0,2549.0,0.7,3.7,35,2023-04,-1.0 to -0.5,Delivery
1336,432,35,2024-04-04,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0,2599.0,17.8,3.4,252,2024-04,-1.0 to -0.5,Delivery
1339,137,26,2024-08-11,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0,1999.0,0.7,4.0,1600,2024-08,-1.0 to -0.5,General Dissatisfaction
1341,266,9,2024-06-03,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0,1899.0,0.6,4.0,63,2024-06,-1.0 to -0.5,General Dissatisfaction
1343,265,21,2023-08-26,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0,1999.0,0.7,4.2,2000,2023-08,-0.49 to 0.0,Product Cost
1344,247,38,2024-05-18,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0,2099.0,0.6,4.1,1100,2024-05,-0.49 to 0.0,General Dissatisfaction
1351,131,44,2023-07-14,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0,2199.0,0.7,3.3,65,2023-07,-1.0 to -0.5,General Dissatisfaction
1361,6,35,2023-11-25,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0,2599.0,17.8,3.4,252,2023-11,-1.0 to -0.5,General Dissatisfaction
1362,277,48,2024-02-29,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0,2499.0,16.3,4.2,374,2024-02,-1.0 to -0.5,General Dissatisfaction
